ID;Nombre;Número de parte;Cantidades;Peso(g);Costo unitario($)
1;TestPointSmall;C239427;46;113;1.47
2;C2504WV-4P;C238069;56;80;1.89
3;1060TR;;38;61;1.59
4;WT-1205;C83060;35;54;1.49
5;100nF;C380338;73;50;1.82
6;22uF;C263247;52;84;1.5
7;2.2nF;C176664;45;48;1.78
8;100uF;C109457;60;95;1.8
9;10uF;C84498;51;51;1.75
10;10pF;C77031;41;108;1.84
11;22pF;C165991;75;110;1.93
12;2.2uF;C296012;44;68;1.83
13;1uF;C83057;37;68;1.66
14;10nF;C111837;79;120;1.54
15;MURA140T3G;C78608;34;71;1.72
16;FDLL4148;C110730;19;71;1.63
17;PSBD1DF40V1H;C265121;78;62;1.56
18;S8B-PH-SM4-TB(LF)(SN);;23;90;1.87
19;CON-LSTB_MA06-1;;51;127;1.79
20;FIDUCIAL1X2.5;;69;115;1.47
21;MA08-1;C239425;55;105;1.56
22;C2504WV-2P;;58;77;1.84
23;TC2050-IDC-NL;102-2188-ND;18;122;1.75
24;V7805-2000R;;39;57;1.48
25;MDS20C-24;;66;122;1.67
26;MFM-30-48;102-2188-ND;38;100;1.69
27;V7812-1000R;C9900005354;23;114;1.66
28;LED Rojo;;31;48;1.85
29;BSS138LT1;C904720;40;117;1.93
30;NJVMJD122T4G-VF01;C101255;77;59;1.55
31;100K;C101252;37;96;1.68
32;100?;C101254;59;107;1.49
33;10K;C101354;43;66;1.72
34;4.7K;C101353;35;53;1.83
35;470;C101250;44;85;1.72
36;0;C101353;30;99;1.87
37;10k;C101297;45;94;1.83
38;2k?;C101256;24;47;1.58
39;1M?;C101253;62;125;1.6
40;1k?;C4184;24;92;1.61
41;20k?;C25804;65;69;1.8
42;10K, 1%;C101354;20;102;1.71
43;4.7K, 1%;;31;106;1.9
44;75869-332LF;C239426;41;103;1.74
45;C2504WV-3P;C47773;32;67;1.55
46;RT9013-33GB;C354117;69;123;1.47
47;MAX3232EID;C13542;61;75;1.66
48;STM32F207ZGT6;C110475;24;85;1.71
49;AZ1117H-ADJTRG1;C529581;57;66;1.81
50;ESP32-WROOM-32(16MB);C32346;55;108;1.47
51;32.768KHz;C481913;67;109;1.54
52;8MHz;;69;123;1.82
53;CON-WAGO-508_W237-3E;;28;49;1.86
54;CON-WAGO-500_W237-4;C919597;32;97;1.91
55;YJS2308A;C118204;57;76;1.78
56;OPA4188AIPWR;;41;101;1.92
57;Fiducial Cross;;55;93;1.94
58;C12_10u_50V_10%_ X5R;GRM31CR61H106KA12L;64;84;1.82
59;C06_100n_50V_10%_ X7R;C0603C104K5RACTU;71;66;1.79
60;C12_22u_16V_10%_ X5R;VJ1206G226KXJTW1BC;44;83;1.92
61;C06_330n_16V_10%_ X7R;GRM188R71C334KA01D;26;114;1.62
62;C06_100n_50V_10%_ X7R;C0603C104K5RACTU;56;59;1.53
63;C04_20p_50V_1%_NP0;GJM1555C1H200FB01D;79;75;1.7
64;CP_330u_10V__10%;T491X337K010AT;59;93;1.71
65;C06_27p_50V_5%_ NP0;CC0603JRNPO9BN270;18;95;1.64
66;C06_4u7_6.3V_10%_ X5R;GRM188R60J475KE19D;58;91;1.56
67;C06_1u0_16V_10%_ X7R;CC0603KRX7R7BB105;55;45;1.96
68;C06_100n_50V_10%_ X7R;C0603C104K5RACTU;75;122;1.92
69;Elko;EEEFK1J221AQ;70;83;1.6
70;C06_1u0_16V_10%_ X7R;CC0603KRX7R7BB105;50;57;1.66
71;C08_1u0_50V_10%_ X7R;08055C105KAT2A;48;111;1.72
72;C08_1u0_16V_10%_ X7R;0805YC105KAT2A;69;83;1.82
73;C06_22u_10V_20%_ X5R;C1608X5R1A226M080AC;47;80;1.8
74;C06_100n_50V_10%_ X7R;C0603C104K5RACTU;33;75;1.51
75;C12_10u_16V_10%_ X7R;1206YC106KAT2A;63;45;1.59
76;TVS DIODE 6V SOT323-5;ESDA6V1W5;31;72;1.46
77;Dioden;BAT54KFILM;42;55;1.5
78;Dioden;PESD1LIN;78;78;1.77
79;D_1S;MMSD4148T[1]G;51;77;1.64
80;TVS-PWR_B_1S;SMCJ26CA;68;99;1.57
81;Z-Diode;NZH15B;39;94;1.88
82;D_1S;PMEG6010CEH|;57;100;1.66
83;TVS-IO;824011;19;103;1.64
84;F1210 Resettable;MF-USMF050-2;43;75;1.99
85;SMD-Sicherung 6.1x2.69mm;0452005.M[R]L;64;90;1.83
86;F1210 Resettable;MF-USMF010[-2];65;127;1.93
87;SMD-Ferrit Würth 0805 High Current;742792031;39;90;1.68
88;LDO fixed 1A 3V3;L5150BNTR;56;78;1.7
89;Low-voltage 8-bit I2C-bus and SMBus low power I/O port with interrupt, reset and Agile I/O;PCAL9538ABSHP;61;66;1.73
90;32-bit Microcontrollers 256KB Flash, 32KB RAM, 79 CoreMark at 25MHz;PIC32MM0256GPM064-I/MR;61;52;1.49
91;Video ICs Graphic Controller EVE;FT800Q-R;77;122;1.75
